Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000106,1524,Brent 014,55.3,24.62462462,61.909385,22.3,32.6,55.3,307.8479670781893,1,0,10.6,13.6,134.8,2.2,62.4,765,22.7,5.182210031347963,464,-1.7874603292559206
E02000107,2156,Brent 015,46.1,17.46724891,61.87851,18.1,34.2,26.1,323.74226470588235,0,11,6.4,12.8,116.6,2.7,46.5,865,15.9,4.969411764705883,841,-1.681480133053646
E02000108,736,Brent 016,45.1,20.97560976,63.683385,12.2,27.6,22.1,584.5578285714286,0,0,9.1,14.5,130.2,2.1,73.8,860,17.9,5.392231530845392,306,-2.0816962659084166
E02000109,1343,Brent 017,44.4,23.69584439,61.713085,14.9,33.1,43.1,486.47337346938775,3,1,8.3,14.7,119.0,2,76.3,855,18.9,4.6115753636645005,457,-1.8345352364955363
E02000110,1289,Brent 018,45.1,20.50970874,60.9301,15.9,24.8,21.9,304.8086071428571,0,0,5.6,13.7,99.6,2.9,46.9,950,15.1,4.639366571817394,629,-1.7417709154615448
E02000111,1137,Brent 019,43.8,17.72575251,61.525945,12.8,35.9,25.1,180.37430459770115,0,0,11.1,15.4,111.7,1.5,83.8,845,20.0,5.146452145214521,412,-1.9738113359277945
E02000112,1227,Brent 020,41.2,17.99610895,63.332985,15.7,34.1,22.2,263.22147517730497,1,3,11.2,14.8,126.2,1.8,78.9,815,20.3,4.600042890842805,473,-1.996904963746197
E02000113,1617,Brent 021,51.9,28.13536828,55.223225,30.5,36.1,38.7,661.4715472636815,1,1,8.1,16.6,152.7,2.1,75.3,615,26.3,6.7011910926980836,271,-1.4759432062811697
E02000114,2012,Brent 022,45.3,19.18976546,61.57382,20.9,35.4,24.5,122.7515785440613,2,0,6.9,12.1,85.6,2.8,47.4,855,15.3,4.790485717461376,710,-1.6140084344296672
E02000115,2160,Brent 023,41.5,16.13333333,58.607305,20.2,35.0,15.5,135.17369458128078,1,0,4.5,14.9,118.2,3.2,37.9,900,12.9,5.736322005302482,874,-1.061061823096432
E02000116,1826,Brent 024,45.2,18.61313869,59.060795,24.1,40.0,37.1,143.8293510638298,1,0,9.4,14.2,148.3,2.3,59.2,685,21.8,5.008593174564203,383,-1.1241627479444174
