Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000586,Kensington and Chelsea 0,4.1,42.3,1712,17.09286676,6.4,-1.786379781365024,1.7
E02000587,Kensington and Chelsea 0,5.5,54.7,1541,19.37669377,8.6,-1.69361698826039,2.3
E02000588,Kensington and Chelsea 0,5.0,40.8,2094,16.98717949,6.7,-2.131110678867012,1.6
E02000589,Kensington and Chelsea 0,5.3,47.3,1804,15.44342508,9.0,-1.723124722188729,3.1
E02000590,Kensington and Chelsea 0,12.4,53.8,1200,15.57788945,14.3,-1.678516282027397,2.6
E02000591,Kensington and Chelsea 0,9.6,43.8,1088,16.66666667,14.8,-1.405028366318813,4.0
E02000592,Kensington and Chelsea 0,3.6,44.4,1780,17.75862069,6.1,-1.805421572462766,1.2
E02000593,Kensington and Chelsea 0,6.2,46.4,1711,16.77018634,10.8,-1.382126494733465,1.7
E02000594,Kensington and Chelsea 0,9.0,49.5,1577,16.4644714,12.4,-1.449388190185346,1.1
E02000595,Kensington and Chelsea 0,7.1,49.5,1545,16.7721519,11.3,-1.441080767715658,1.8
E02000596,Kensington and Chelsea 0,4.8,42.3,1687,17.10730949,8.0,-1.335933123006757,1.2
E02000597,Kensington and Chelsea 0,16.6,54.9,812,18.13403417,18.1,-0.9989321506024342,3.5
E02000598,Kingston upon Thames 001,10.7,27.7,737,14.8020654,10.5,-1.877674624760277,1.0
E02000599,Kingston upon Thames 002,10.0,41.5,711,19.64497041,11.4,-1.747419031006852,2.4
E02000600,Kingston upon Thames 003,9.4,46.2,658,15.91796875,10.4,-1.502014402260323,2.5
E02000601,Kingston upon Thames 004,9.3,36.9,1026,12.44019139,9.6,-1.78380814898474,1.4
E02000602,Kingston upon Thames 005,15.2,54.3,625,13.22393822,13.9,-1.726009134296529,2.9
E02000603,Kingston upon Thames 006,18.7,44.8,450,18.58325667,13.9,-1.433300563789524,4.1
E02000604,Kingston upon Thames 007,12.4,35.8,640,14.39588689,11.6,-1.620972827062721,5.5
E02000605,Kingston upon Thames 008,14.8,30.7,608,15.15151515,14.1,-1.5239471075322,3.9
E02000606,Kingston upon Thames 009,6.7,42.3,1070,8.95334174,9.5,-1.631081668741816,1.6
E02000607,Kingston upon Thames 010,8.8,33.3,515,14.72972973,10.1,-1.6454284711029,1.5
E02000608,Kingston upon Thames 011,7.4,40.2,717,7.518796992,10.6,-1.335360059215635,1.5
E02000609,Kingston upon Thames 012,16.7,43.7,485,17.67151767,15.3,-1.543211144164216,4.2
E02000610,Kingston upon Thames 013,11.6,43.3,768,10.3021978,14.9,-1.293255117218294,1.8
E02000611,Kingston upon Thames 014,13.5,25.4,534,16.72203765,13.2,-1.708455847487706,1.5
E02000612,Kingston upon Thames 015,15.0,26.5,560,13.94871795,13.5,-1.664629725463452,2.4
E02000613,Kingston upon Thames 016,14.3,40.6,653,10.5620155,13.3,-1.435473581713248,1.6
E02000614,Kingston upon Thames 017,18.4,33.8,446,14.63620981,13.1,-1.650883683665279,3.4
E02000615,Kingston upon Thames 018,19.5,32.5,485,15.88114754,14.4,-2.117143314338156,1.8
E02000616,Kingston upon Thames 019,19.0,30.9,396,13.81909548,11.8,-2.143805754810498,1.1
E02000617,Kingston upon Thames 020,21.1,43.7,530,15.10966694,14.6,-1.643087427934026,1.5
E02000619,Lambeth 002,20.2,49.2,694,18.77777778,16.0,-0.6821580507930559,3.8
E02000620,Lambeth 003,13.9,45.0,1069,16.52173913,12.4,-1.344270000942823,3.4
E02000621,Lambeth 004,11.9,52.8,1261,18.85245902,12.7,-0.7498280508965854,3.9
E02000622,Lambeth 005,12.9,47.4,808,18.09651475,12.2,-1.581494281605478,3.7
E02000623,Lambeth 006,19.1,48.3,643,16.2055336,14.3,-1.444429955518497,5.9
E02000624,Lambeth 007,15.2,44.3,708,17.21132898,14.5,-1.500536051339552,4.0
E02000625,Lambeth 008,19.1,50.3,582,20.68965517,13.5,-1.231838816555843,6.9
E02000626,Lambeth 009,20.3,52.1,431,20.34739454,14.4,-1.537209725564527,4.9
E02000627,Lambeth 010,13.3,49.8,979,16.42411642,12.1,-1.409912581458105,4.2
E02000628,Lambeth 011,20.8,51.0,541,23.37349398,14.6,-1.388197576630774,7.7
E02000629,Lambeth 012,10.4,47.3,1425,16.83673469,10.2,-1.521585066648606,2.1
E02000630,Lambeth 013,9.1,48.2,1238,18.37060703,10.8,-1.682232118178004,1.8
E02000631,Lambeth 014,11.9,43.2,824,16.12284069,12.0,-1.409610503487886,2.9
E02000632,Lambeth 015,8.2,49.8,1470,16.0,9.0,-1.649344909697079,1.9
E02000633,Lambeth 016,14.9,50.8,721,18.61702128,14.1,-1.481284174200006,3.6
E02000634,Lambeth 017,14.6,55.9,779,20.03154574,14.1,-1.332906369162386,2.6
E02000635,Lambeth 018,11.8,44.6,899,16.03498542,11.9,-1.537117266720126,2.3
E02000636,Lambeth 019,6.1,51.5,1522,19.66145833,7.8,-1.743796549415721,1.4
E02000637,Lambeth 020,10.1,47.3,924,13.87137453,10.9,-1.517567814481751,2.2
E02000638,Lambeth 021,16.5,42.4,746,15.78014184,13.5,-1.507832722160826,3.6
E02000639,Lambeth 022,17.3,50.7,456,18.85175664,13.8,-1.525632934538077,5.8
E02000640,Lambeth 023,10.8,45.5,1164,15.24201854,11.3,-1.617162443643826,1.7
E02000641,Lambeth 024,19.4,48.8,401,20.49364248,15.4,-1.357248628904055,4.4
E02000642,Lambeth 025,13.7,47.3,735,16.31372549,13.3,-1.576002648168251,2.4
E02000643,Lambeth 026,13.0,42.8,849,16.08961303,12.1,-1.757205489431888,4.1
E02000644,Lambeth 027,12.8,38.3,681,13.45646438,11.9,-1.512927550425744,3.6
E02000645,Lambeth 028,12.1,42.7,811,14.37648928,11.3,-1.733361835078437,3.1
E02000646,Lambeth 029,12.3,42.1,908,14.46188341,12.3,-1.250335830228892,4.3
E02000647,Lambeth 030,14.1,44.1,622,16.20658949,13.9,-1.476650540833608,2.7
E02000648,Lambeth 031,23.3,50.9,357,17.77084957,16.6,-1.287697972272754,2.8
E02000649,Lambeth 032,12.6,45.3,945,14.20074349,11.3,-1.489776757183195,5.3
E02000650,Lambeth 033,18.1,46.1,482,16.40776699,14.4,-1.64906753623492,2.3
E02000651,Lambeth 034,15.0,41.5,658,13.58249772,12.8,-1.510737825789082,4.5
E02000652,Lambeth 035,18.4,42.5,351,23.2049948,14.7,-1.666164041776035,7.1
E02000653,Lewisham 001,16.6,49.8,605,20.94474153,12.4,-1.549111651402944,4.0
E02000654,Lewisham 002,21.8,52.1,395,21.32780083,14.5,-1.407814539023471,6.5
E02000655,Lewisham 003,17.0,46.5,485,18.50802644,12.6,-1.392981476207272,4.0
E02000657,Lewisham 005,12.3,40.1,577,15.24861878,11.6,-1.273905025343016,2.9
E02000658,Lewisham 006,14.3,47.0,558,15.46723953,13.6,-1.207943326245899,3.6
E02000659,Lewisham 007,14.3,41.6,766,14.62217861,12.7,-1.015850397619024,3.0
E02000660,Lewisham 008,11.2,39.0,735,12.10340776,11.2,-1.357296627752542,1.9
E02000661,Lewisham 009,11.9,38.0,817,11.55015198,13.0,-1.138275984578852,1.3
E02000662,Lewisham 010,14.5,36.3,534,15.51724138,12.6,-1.433530836822214,3.2
E02000663,Lewisham 011,11.3,36.2,509,14.30429129,12.0,-1.2508132252081,3.5
E02000664,Lewisham 012,17.4,52.4,618,12.36947791,15.5,-0.8150929396539426,4.8
E02000665,Lewisham 013,15.2,39.1,631,12.83095723,13.8,-1.279915259464066,3.0
E02000666,Lewisham 014,14.3,41.0,539,13.81048387,13.3,-1.204526206977384,3.1
E02000667,Lewisham 015,14.8,32.8,450,10.51401869,11.8,-1.351621516544773,2.2
E02000668,Lewisham 016,13.9,41.4,497,12.13808463,13.5,-1.134853641098912,1.9
E02000669,Lewisham 017,14.3,47.2,573,14.04072883,12.9,-1.163162494194733,2.7
E02000670,Lewisham 018,18.9,49.6,276,16.17795753,15.6,-0.984295285769382,3.1
E02000671,Lewisham 019,15.6,43.3,633,12.31481481,14.1,-1.303590518987533,2.0
E02000672,Lewisham 020,17.2,43.6,416,16.54991243,16.0,-0.7481537120492847,3.3
E02000673,Lewisham 021,11.2,37.3,726,17.9090029,11.0,-1.611856142273422,1.8
E02000674,Lewisham 022,17.5,38.6,417,19.29666366,14.8,-1.454048794418897,3.0
E02000675,Lewisham 023,19.3,38.1,538,12.75229358,14.4,-1.125764953893979,2.2
E02000676,Lewisham 024,15.0,46.4,598,13.67521368,13.3,-1.425011717738885,1.7
E02000677,Lewisham 025,17.1,33.3,444,17.07589286,14.2,-0.930849391712948,2.8
E02000678,Lewisham 026,26.4,43.0,265,17.8,16.4,-1.1596479203936,2.2
E02000679,Lewisham 027,17.4,48.3,509,14.61397059,14.7,-1.017847821559529,2.3
E02000680,Lewisham 028,17.1,43.9,424,13.7295082,15.0,-0.5162664678504906,2.8
E02000681,Lewisham 029,25.1,44.0,387,19.96542783,17.8,-0.9704608857965092,2.4
E02000682,Lewisham 030,25.5,46.4,318,19.62025316,17.1,-1.004090820230805,3.2
E02000683,Lewisham 031,26.9,54.2,287,16.52452026,18.7,-0.6675001727607277,2.2
E02000685,Lewisham 033,19.4,44.1,429,14.75095785,16.0,-0.4367987852681996,2.0
E02000686,Lewisham 034,25.8,48.4,232,17.99462847,17.1,-0.882125408312364,2.5
E02000687,Lewisham 035,18.1,36.7,488,13.50826045,15.7,-0.9082200781488808,1.8
E02000689,Merton 001,7.1,44.2,1010,14.61609621,8.6,-1.878350327741846,1.2
E02000690,Merton 002,8.2,49.2,806,20.36753446,12.4,-1.719603941623849,1.4
E02000691,Merton 003,7.6,36.1,972,17.27616646,9.2,-1.829608286139122,1.2
E02000692,Merton 004,6.0,35.7,1254,13.59773371,10.4,-1.395657350247964,1.6
E02000693,Merton 005,10.3,33.3,900,9.635722679,10.1,-1.626993892085092,3.8
E02000694,Merton 006,11.1,38.0,1127,11.41141141,10.2,-1.79575280907799,1.8
E02000695,Merton 007,16.2,39.7,475,18.38006231,14.1,-1.7650559646299,7.7
E02000696,Merton 008,16.5,37.6,525,14.16184971,11.7,-1.617296104842023,7.0
E02000697,Merton 009,6.0,40.9,1124,10.93560146,8.1,-1.771421448512121,1.5
E02000698,Merton 010,7.5,38.0,939,16.50197628,10.9,-1.847147131423017,1.3
E02000699,Merton 011,8.0,25.0,899,13.0787037,9.2,-1.662093702901052,1.3
E02000700,Merton 012,19.3,42.7,466,16.19396157,13.5,-1.651790283248927,5.0
E02000701,Merton 013,20.4,42.0,416,17.6276771,13.7,-1.485879741287503,7.0
E02000702,Merton 014,21.5,39.3,357,16.92982456,14.5,-1.255711497909407,4.9
E02000703,Merton 015,12.1,34.3,699,17.59162304,12.4,-1.307448565502543,2.1
E02000704,Merton 016,14.7,40.1,691,11.30876747,13.4,-1.580057629412432,2.3
